ALMACEN,TIENDA,NOMBRE,LATITUD,LONGITUD,TARIMAS
91000,14058,14058 SANTA CAROLINA,19.13217402,-104.3332331,2
91000,12039,12039 BOSQUES DE SAN ANTONIO,18.935437,-103.884633,1
93100,31127,31127 ECOTERRA,20.74742,-105.15803,1
93100,31074,31074 IXTAPA ORQUIDEA,20.720714,-105.197639,2
95500,54064,54064 TUXPAN,21.943954,-105.298324,1
93100,31020,31020 JARRETADERAS,20.6957256,-105.2708488,2
95500,54028,54028 BUGAMBILIAS XALISCO,21.45224669,-104.9033441,1
95500,54072,54072 TUXPAN ORIENTE,21.941747,-105.288833,1
93100,31032,31032 FRANCISCO VILLA,20.6337515,-105.2253959,1
91000,19096,19096 MANUEL ALVAREZ,19.25973,-103.73215,1
95500,54084,54084 AMERICA,21.467689,-104.858969,1
91000,14030,14030 CLUB DE LEONES,19.04844308,-104.318255,2
91000,12047,12047 IGNACIO RAMIREZ,18.754004,-103.724504,2
91000,19040,19040 GAS LA ESTANCIA,19.23461,-103.68513,1
91000,19024,19024 GAS COQUIMATLAN,19.21506,-103.80379,1
91000,13033,13033 TUXPAN,19.559765,-103.372319,1
93100,31073,31073 LIENZO PIRULI,20.66562,-105.195522,1
91000,14026,14026 CIHUATLAN,19.23607002,-104.5652431,1
91000,19143,19143 MADERO CUAUHTEMOC,19.327405,-103.607252,1
91000,19110,19110 GAS QUESERIA,19.38588,-103.56951,1
91000,13092,13092 VICENTE GUERRERO,19.792706,-103.471164,1
91000,14083,14083 OBREGON,19.613664,-104.453221,1
91000,12051,12051 JARDINES,18.919851,-103.865801,1
91000,19047,19047 GAS EJERCITO NACIONAL,19.25386,-103.68913,1
91000,13048,13048 FRACIONAMIENTO LAS LOMAS,19.731685,-103.456065,1
91000,13001,13001 FEDERICO DEL TORO,19.72099657,-103.4609066,1
95500,54101,54101 LAS VIAS,21.506479,-104.876482,1
91000,19140,19140 ISENCO,19.2552,-103.6792,1
91000,51055,51055 TALA,20.6638,-103.70101,1
91000,19119,19119 LOPEZ RAYON,19.2656964,-103.7307886,1
93100,31169,31169 LAS CARBONERAS,20.672087,-105.186081,1
91000,13015,13015 TUXPAN OBREGON,19.55580698,-103.37792,1
91000,13032,13032 DARIO VARGAS,19.712236,-103.462585,1
